name,mz,rt,X200STD_amide23_24DDA100.700_neg01,X200STD_amide23_24DDA100.700_neg02,X200STD_amide23_24DDA100.700_neg03,X200STD_amide23_24DDA100.700_neg04
M567T957_2,567.102906507835,957.476,1012.49875000001,1402.55693750001,1472.55805714285,544.128062500002
M567T814,567.127254716237,814.0005,5435.03364285715,7062.03477777779,6441.45833333333,7262.24359999999
M567T636,567.126618932316,636.0505,734.703103448276,872.304142857142,836.454181818182,1075.83589473684
M567T322,567.167578547901,321.5095,79.614,1018.8364166666601,1110.40363636364,1159.136
M567T421,567.178244922958,420.5435,1460.16242857142,848.51,754.525714285712,1568.66111111112
M568T98,567.537562880182,98.163,1231.57,1237.928,1278.72,1653.43285714286
M568T36,568.011464398402,36.4265,1704.737,1472.105,1582.25166666667,841.871571428572
M568T815,568.123945347084,815.0655,3203.73434482758,3707.46114285714,3428.12832142857,4002.53381818183
M569T834,568.885815649533,833.816,835.776692307692,1170.49384848485,928.702133333332,917.968800000001
M569T267,568.996576951131,266.713,349.893,1035.72,866.400000000001,909.484470588236
M569T38,568.996069258011,37.583,2333.73506666667,2308.02666666667,2247.15111111111,2002.26166666667
M569T219,569.203073712338,219.3225,1984.57728571429,1838.848375,1653.80886486487,2102.00188235294
M569T129,569.254402800161,129.496,8819.3712,6152.506,7017.85595238095,9984.61111627907
M570T37,569.993222622565,37.387,694.975399999999,1031.55,935.068333333333,1163.135
M570T266,569.995280243569,266.363,687.896300000002,839.10023076923,967.9227,729.7383
M570T69,570.257156358075,68.7595,249.328363636364,1287.1719,1293.83,1142.44169230769
M571T40,570.968535197565,40.328,3712.58707142857,2941.29142857143,2574.86442857143,3171.35382352941
M571T266,570.993546763216,266.013,676.031846153846,1097.1784,1149.0132,1135.43906666667
M571T752,571.087687282881,752.441,6144.12000000004,6315.044,7358.77220000005,6791.24854545453
M571T593,571.101891055148,592.62,4640.48625000001,7021.50999999998,7450.97899999999,8134.60182352941
M571T51,571.112507872229,51.416,493.31025,2335.24666666667,1046.4,741.17
M571T635,571.121488403216,634.986,18664.7523076923,18117.7962,19674.9250000001,20356.1096428571
M571T863,571.126260083273,863.2875,551.069307692307,556.700076923079,738.207999999999,743.786666666663
M572T753,572.091455211138,752.6445,1235.71,1446.144,1426.16188888889,1350.43700000001
M572T592,572.105353529623,592.4585,1414.12615384615,1828.408,2099.26924137931,2273.21393939393
M572T635,572.12330565532,635.0265,3484.57076923077,3622.11699999999,3909.71184615384,4103.56523076921
M572T167,572.138327898448,166.8085,348.360529411765,2971.548375,2646.30885714286,2879.16261111111
M572T179,572.137836679469,179.3635,1123.24482608696,6308.75322222222,2095.94084210526,5614.32408695652
M573T50,572.948140663296,50.286,1050.18666666667,2119.967875,1299.24,1118.88947368421
M573T742,572.994157371032,742.451,953.269470588237,969.797785714283,1000.1849375,1068.045
M573T419,573.097325250309,419.1535,1068.805125,752.500000000005,790.387272727274,722.374818181818
M573T635,573.126221875546,635.122,949.53281818182,983.476363636364,1178.42915384615,1030.58025
